id,company_id,partner_id,partner_invoice_id,partner_shipping_id,currency_id,user_id,team_id,create_uid,write_uid,name,state,invoice_status,validity_date,currency_rate,amount_untaxed,amount_tax,amount_total,locked,require_signature,require_payment,create_date,date_order,write_date,prepayment_percent,warehouse_id,picking_policy,amount_unpaid,margin,margin_percent
1,1,10,10,10,1,6.0,1,1,1,S00001,draft,no,2026-05-27,1.0,1740.0,0.0,1740.0,False,True,True,2026-04-27 11:56:12.659985,2026-03-27 11:56:00,2026-06-15 15:30:58.463132,1.0,1.0,direct,1740.0,1455.0,0.8362068965517241
2,1,12,25,25,1,2.0,1,1,1,S00002,draft,no,2026-05-27,1.0,2947.5,0.0,2947.5,False,True,True,2026-04-27 11:56:12.659985,2026-03-27 11:56:00,2026-06-15 15:30:58.463132,1.0,1.0,direct,2947.5,1690.5,0.5735368956743002
3,1,12,12,12,1,2.0,1,1,1,S00003,draft,no,2026-05-27,1.0,377.5,0.0,377.5,False,True,True,2026-04-27 11:56:12.659985,2026-04-27 11:56:20,2026-06-15 15:30:58.463132,1.0,1.0,direct,377.5,117.5,0.3112582781456953
4,1,11,32,32,1,2.0,1,1,1,S00004,sale,no,2026-05-27,1.0,2240.0,0.0,2240.0,False,True,True,2026-04-27 11:56:12.659985,2026-04-27 11:56:22,2026-06-15 15:30:58.463132,1.0,1.0,direct,2240.0,-12048.0,-5.378571428571429
5,1,10,10,10,1,6.0,4,1,1,S00005,draft,no,2026-05-27,1.0,405.0,0.0,405.0,False,True,True,2026-04-27 11:56:12.659985,2026-03-27 11:56:00,2026-06-15 15:30:58.463132,1.0,1.0,direct,405.0,370.0,0.9135802469135802
6,1,16,16,16,1,2.0,4,1,1,S00006,sale,no,2026-05-27,1.0,750.0,0.0,750.0,False,True,True,2026-04-27 11:56:12.659985,2026-04-27 11:56:22,2026-06-15 15:30:58.463132,1.0,1.0,direct,750.0,250.0,0.3333333333333333
7,1,11,24,24,1,2.0,1,1,1,S00007,sale,to invoice,2026-05-27,1.0,1706.0,0.0,1706.0,False,True,True,2026-04-27 11:56:12.659985,2026-04-27 11:56:22,2026-06-15 15:30:58.463132,1.0,1.0,direct,1706.0,616.0,0.3610785463071512
8,1,11,32,32,1,6.0,4,1,1,S00008,sale,no,2026-05-27,1.0,462.0,0.0,462.0,False,True,True,2026-04-27 11:56:12.659985,2026-04-27 11:56:22,2026-06-15 15:30:58.463132,1.0,1.0,direct,462.0,-98.0,-0.2121212121212121
9,1,11,32,32,1,6.0,4,1,1,S00009,sale,no,2026-05-27,1.0,654.0,0.0,654.0,False,True,True,2026-04-27 11:56:12.659985,2026-04-20 11:56:22.865245,2026-06-15 15:30:58.463132,1.0,1.0,direct,654.0,-186.0,-0.2844036697247706
10,1,11,32,32,1,6.0,4,1,1,S00010,sale,no,2026-05-27,1.0,751.0,0.0,751.0,False,True,True,2026-04-27 11:56:12.659985,2026-04-27 11:56:22,2026-06-15 15:30:58.463132,1.0,1.0,direct,751.0,391.0,0.5206391478029294
11,1,11,32,32,1,6.0,4,1,1,S00011,sale,no,2026-05-27,1.0,1096.5,0.0,1096.5,False,True,True,2026-04-27 11:56:12.659985,2026-04-06 11:56:22.868191,2026-06-15 15:30:58.463132,1.0,1.0,direct,1096.5,556.5,0.5075239398084815
12,1,11,32,32,1,6.0,4,1,1,S00012,sale,no,2026-05-27,1.0,556.0,0.0,556.0,False,True,True,2026-04-27 11:56:12.659985,2026-04-27 11:56:22,2026-06-15 15:30:58.463132,1.0,1.0,direct,556.0,196.0,0.3525179856115107
13,1,11,32,32,1,6.0,4,1,1,S00013,sale,no,2026-05-27,1.0,415.5,0.0,415.5,False,True,True,2026-04-27 11:56:12.659985,2026-04-27 11:56:22,2026-06-15 15:30:58.463132,1.0,1.0,direct,415.5,235.5,0.5667870036101083
14,1,11,32,32,1,6.0,1,1,1,S00014,sale,no,2026-05-27,1.0,1582.0,0.0,1582.0,False,True,True,2026-04-27 11:56:12.659985,2026-04-27 11:56:22,2026-06-15 15:30:58.463132,1.0,1.0,direct,1582.0,862.0,0.5448798988621998
15,1,11,32,32,1,6.0,1,1,1,S00015,sale,no,2026-05-27,1.0,1541.5,0.0,1541.5,False,True,True,2026-04-27 11:56:12.659985,2026-04-13 11:56:22.873275,2026-06-15 15:30:58.463132,1.0,1.0,direct,1541.5,1001.5,0.6496918585793059
16,1,11,32,32,1,6.0,1,1,1,S00016,sale,no,2026-05-27,1.0,1186.5,0.0,1186.5,False,True,True,2026-04-27 11:56:12.659985,2026-04-27 11:56:22,2026-06-15 15:30:58.463132,1.0,1.0,direct,1186.5,646.5,0.5448798988621998
17,1,11,32,32,1,6.0,1,1,1,S00017,sale,no,2026-05-27,1.0,951.0,0.0,951.0,False,True,True,2026-04-27 11:56:12.659985,2026-03-30 11:56:22.876479,2026-06-15 15:30:58.463132,1.0,1.0,direct,951.0,591.0,0.6214511041009464
18,1,11,32,32,1,6.0,1,1,1,S00018,sale,no,2026-05-27,1.0,831.0,0.0,831.0,False,True,True,2026-04-27 11:56:12.659985,2026-03-23 11:56:22.87931,2026-06-15 15:30:58.463132,1.0,1.0,direct,831.0,471.0,0.5667870036101083
19,1,8,8,8,1,2.0,1,1,1,S00019,sent,no,2026-05-27,1.0,1740.0,0.0,1740.0,False,True,True,2026-04-27 11:56:12.659985,2026-03-27 11:56:00,2026-06-15 15:30:58.463132,1.0,1.0,direct,1740.0,1455.0,0.8362068965517241
20,1,8,8,8,1,2.0,1,1,1,S00020,sale,no,2026-05-27,1.0,2947.5,0.0,2947.5,False,True,True,2026-04-27 11:56:12.659985,2026-03-27 11:56:22.882179,2026-06-15 15:30:58.463132,1.0,1.0,direct,2947.5,1690.5,0.5735368956743002
21,1,28,28,28,1,1.0,1,1,1,S00021,sent,no,2026-06-18,1.0,4951.0,14.4,4965.4,False,True,True,2026-05-04 12:01:52.049386,2026-05-04 12:01:36,2026-06-15 15:30:58.463132,1.0,1.0,direct,4965.4,11.0,0.0022217733791153
22,1,15,15,15,1,1.0,1,1,1,S00022,draft,no,2026-06-21,1.0,0.0,0.0,0.0,False,True,True,2026-05-22 11:16:02.606996,2026-05-22 11:15:41,2026-06-15 15:30:58.463132,1.0,1.0,direct,0.0,0.0,0.0
23,1,15,15,15,1,1.0,1,1,1,S00023,sent,no,2026-06-21,1.0,0.0,0.0,0.0,False,True,True,2026-05-22 11:24:59.843363,2026-05-22 11:24:51,2026-06-15 15:30:58.463132,1.0,1.0,direct,0.0,0.0,0.0
24,1,15,15,15,1,1.0,1,1,1,S00024,draft,no,2026-06-24,1.0,0.0,0.0,0.0,False,True,True,2026-05-25 13:04:20.996397,2026-05-25 13:04:13,2026-06-15 15:30:58.463132,1.0,1.0,direct,0.0,0.0,0.0
