"id","campaign_id","source_id","medium_id","company_id","partner_id","journal_id","partner_invoice_id","partner_shipping_id","fiscal_position_id","payment_term_id","pricelist_id","currency_id","user_id","team_id","create_uid","write_uid","access_token","name","state","client_order_ref","origin","reference","signed_by","invoice_status","validity_date","note","currency_rate","amount_untaxed","amount_tax","amount_total","locked","require_signature","require_payment","create_date","commitment_date","date_order","signed_on","write_date","prepayment_percent","pending_email_template_id","sale_order_template_id","customizable_pdf_form_fields","incoterm","warehouse_id","procurement_group_id","incoterm_location","picking_policy","delivery_status","effective_date","amount_unpaid","opportunity_id","patient_name","doctor_id","margin","margin_percent"
1,4,10,4,1,10,NULL,10,10,NULL,4,NULL,1,6,1,1,1,NULL,"S00001","draft",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,1740.00,0.00,1740.00,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-03-27 11:56:00",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,1740.00,NULL,NULL,NULL,1455.00,0.8362068965517241
2,4,10,4,1,12,NULL,25,25,NULL,NULL,NULL,1,2,1,1,1,NULL,"S00002","draft",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,2947.50,0.00,2947.50,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-03-27 11:56:00",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,2947.50,NULL,NULL,NULL,1690.50,0.5735368956743002
3,4,10,4,1,12,NULL,12,12,NULL,NULL,NULL,1,2,1,1,1,"29d21d15-0915-4295-85ac-76835ead06e1","S00003","draft",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,377.50,0.00,377.50,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-04-27 11:56:20",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,377.50,NULL,NULL,NULL,117.50,0.31125827814569534
4,4,10,4,1,11,NULL,32,32,NULL,NULL,NULL,1,2,1,1,1,"40886724-5355-4236-8dae-6480281509c0","S00004","sale",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,2240.00,0.00,2240.00,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-04-27 11:56:22",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,2240.00,NULL,NULL,NULL,-12048.00,-5.378571428571429
5,4,10,4,1,10,NULL,10,10,NULL,4,NULL,1,6,4,1,1,"1cf5d062-6c5a-4339-a5ca-4cdb9b9d7d84","S00005","draft",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,405.00,0.00,405.00,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-03-27 11:56:00",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,405.00,NULL,NULL,NULL,370.00,0.9135802469135802
6,4,10,4,1,16,NULL,16,16,NULL,NULL,NULL,1,2,4,1,1,NULL,"S00006","sale",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,750.00,0.00,750.00,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-04-27 11:56:22",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,750.00,NULL,NULL,NULL,250.00,0.3333333333333333
7,4,10,4,1,11,NULL,24,24,NULL,NULL,NULL,1,2,1,1,1,"d47ecf64-5151-4c64-aaca-462b81f3cf69","S00007","sale",NULL,NULL,NULL,NULL,"to invoice","2026-05-27",NULL,1.0,1706.00,0.00,1706.00,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-04-27 11:56:22",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,1706.00,NULL,NULL,NULL,616.00,0.36107854630715125
8,4,10,4,1,11,NULL,32,32,NULL,NULL,NULL,1,6,4,1,1,NULL,"S00008","sale",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,462.00,0.00,462.00,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-04-27 11:56:22",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,462.00,NULL,NULL,NULL,-98.00,-0.21212121212121213
9,4,10,4,1,11,NULL,32,32,NULL,NULL,NULL,1,6,4,1,1,NULL,"S00009","sale",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,654.00,0.00,654.00,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-04-20 11:56:22.865245",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,654.00,NULL,NULL,NULL,-186.00,-0.28440366972477066
10,4,10,4,1,11,NULL,32,32,NULL,NULL,NULL,1,6,4,1,1,"44e5843a-7bf8-4484-aa08-2ef1d4f6e551","S00010","sale",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,751.00,0.00,751.00,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-04-27 11:56:22",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,751.00,NULL,NULL,NULL,391.00,0.5206391478029294
11,4,10,4,1,11,NULL,32,32,NULL,NULL,NULL,1,6,4,1,1,NULL,"S00011","sale",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,1096.50,0.00,1096.50,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-04-06 11:56:22.868191",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,1096.50,NULL,NULL,NULL,556.50,0.5075239398084815
12,4,10,4,1,11,NULL,32,32,NULL,NULL,NULL,1,6,4,1,1,"d14070eb-2ac8-49b4-8b43-339c9801a98e","S00012","sale",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,556.00,0.00,556.00,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-04-27 11:56:22",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,556.00,NULL,NULL,NULL,196.00,0.35251798561151076
13,4,10,4,1,11,NULL,32,32,NULL,NULL,NULL,1,6,4,1,1,NULL,"S00013","sale",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,415.50,0.00,415.50,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-04-27 11:56:22",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,415.50,NULL,NULL,NULL,235.50,0.5667870036101083
14,4,10,4,1,11,NULL,32,32,NULL,NULL,NULL,1,6,1,1,1,NULL,"S00014","sale",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,1582.00,0.00,1582.00,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-04-27 11:56:22",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,1582.00,NULL,NULL,NULL,862.00,0.5448798988621998
15,4,10,4,1,11,NULL,32,32,NULL,NULL,NULL,1,6,1,1,1,NULL,"S00015","sale",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,1541.50,0.00,1541.50,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-04-13 11:56:22.873275",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,1541.50,NULL,NULL,NULL,1001.50,0.6496918585793059
16,4,10,4,1,11,NULL,32,32,NULL,NULL,NULL,1,6,1,1,1,"89e47dfd-35d6-4639-8e06-9ecd1c32f1fe","S00016","sale",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,1186.50,0.00,1186.50,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-04-27 11:56:22",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,1186.50,NULL,NULL,3,646.50,0.5448798988621998
17,4,10,4,1,11,NULL,32,32,NULL,NULL,NULL,1,6,1,1,1,NULL,"S00017","sale",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,951.00,0.00,951.00,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-03-30 11:56:22.876479",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,951.00,NULL,NULL,NULL,591.00,0.6214511041009464
18,4,10,4,1,11,NULL,32,32,NULL,NULL,NULL,1,6,1,1,1,NULL,"S00018","sale",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,831.00,0.00,831.00,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-03-23 11:56:22.87931",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,831.00,NULL,NULL,NULL,471.00,0.5667870036101083
19,NULL,NULL,NULL,1,8,NULL,8,8,NULL,NULL,NULL,1,2,1,1,1,"bae64b60-b55c-496e-977f-c71b6b824258","S00019","sent",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,1740.00,0.00,1740.00,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-03-27 11:56:00",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,1740.00,NULL,NULL,NULL,1455.00,0.8362068965517241
20,NULL,NULL,NULL,1,8,NULL,8,8,NULL,NULL,NULL,1,2,1,1,1,NULL,"S00020","sale",NULL,NULL,NULL,NULL,"no","2026-05-27",NULL,1.0,2947.50,0.00,2947.50,False,True,True,"2026-04-27 11:56:12.659985",NULL,"2026-03-27 11:56:22.882179",NULL,"2026-06-15 15:30:58.463132",1.0,NULL,NULL,NULL,NULL,1,NULL,NULL,"direct",NULL,NULL,2947.50,NULL,NULL,NULL,1690.50,0.5735368956743002
